y_lag,y,pi,Epi_lead,Rsq_Epi,version,path_number
3.23,3.112880546966039,2.077039973272086,2.034988590495185,0.9999789284719528,2,1
3.24,3.12207477018912,2.0810229359063137,2.0387264257873396,0.9999789284719528,2,1
3.25,3.131268993412199,2.0850058985405395,2.0424642610794947,0.9999789284719528,2,1
3.26,3.1404632166352804,2.088988861174767,2.046202096371649,0.9999789284719528,2,1
3.27,3.149657439858359,2.0929718238089947,2.049939931663805,0.9999789284719528,2,1
3.28,3.15885166308144,2.0969547864432196,2.053677766955959,0.9999789284719528,2,1
3.29,3.16804588630452,2.1009377490774472,2.0574156022481156,0.9999789284719528,2,1
3.3,3.1772401095275997,2.1049207117116735,2.06115343754027,0.9999789284719528,2,1
3.31,3.18643433275068,2.108903674345901,2.064891272832425,0.9999789284719528,2,1
3.32,3.19562855597376,2.1128866369801274,2.0686291081245805,0.9999789284719528,2,1
3.33,3.2048227791968396,2.116869599614354,2.0723669434167356,0.9999789284719528,2,1
3.34,3.214017002419919,2.1208525622485803,2.07610477870889,0.9999789284719528,2,1
3.35,3.223211225643,2.124835524882809,2.079842614001045,0.9999789284719528,2,1
3.36,3.23240544886608,2.1288184875170346,2.0835804492932,0.9999789284719528,2,1
3.37,3.2415996720891607,2.1328014501512618,2.087318284585355,0.9999789284719528,2,1
3.38,3.2507938953122397,2.13678441278549,2.09105611987751,0.9999789284719528,2,1
3.39,3.2599881185353192,2.1407673754197165,2.0947939551696653,0.9999789284719528,2,1
3.4,3.269182341758399,2.1447503380539423,2.0985317904618204,0.9999789284719528,2,1
3.41,3.27837656498148,2.14873330068817,2.102269625753976,0.9999789284719528,2,1
3.42,3.2875707882045604,2.152716263322396,2.1060074610461297,0.9999789284719528,2,1
3.43,3.29676501142764,2.1566992259566242,2.1097452963382857,0.9999789284719528,2,1
3.44,3.3059592346507203,2.1606821885908505,2.1134831316304408,0.9999789284719528,2,1
3.45,3.3151534578738,2.164665151225077,2.117220966922596,0.9999789284719528,2,1
3.46,3.3243476810968806,2.1686481138593043,2.1209588022147496,0.9999789284719528,2,1
3.47,3.33354190431996,2.172631076493532,2.1246966375069056,0.9999789284719528,2,1
3.48,3.3427361275430396,2.1766140391277573,2.1284344727990603,0.9999789284719528,2,1
3.49,3.3519303507661204,2.1805970017619853,2.1321723080912163,0.9999789284719528,2,1
3.5,3.3611245739892,2.1845799643962116,2.135910143383371,0.9999789284719528,2,1
-3.5,-3.3605607611141277,-2.1966288439692434,-2.1364403063375352,0.9999869626171032,3,4
-3.49,-3.351366705925763,-2.192716720216532,-2.1327649831233444,0.9999869626171032,3,4
-3.48,-3.3421726507373983,-2.1888045964638208,-2.1290896599091536,0.9999869626171032,3,4
-3.47,-3.332978595549034,-2.1848924727111085,-2.1254143366949636,0.9999869626171032,3,4
-3.46,-3.323784540360669,-2.1809803489583968,-2.121739013480773,0.9999869626171032,3,4
-3.45,-3.3145904851723045,-2.177068225205686,-2.118063690266583,0.9999869626171032,3,4
-3.44,-3.305396429983939,-2.1731561014529737,-2.1143883670523924,0.9999869626171032,3,4
-3.43,-3.296202374795575,-2.169243977700263,-2.110713043838202,0.9999869626171032,3,4
-3.42,-3.2870083196072097,-2.1653318539475506,-2.1070377206240116,0.9999869626171032,3,4
-3.41,-3.277814264418846,-2.161419730194839,-2.103362397409822,0.9999869626171032,3,4
-3.4,-3.26862020923048,-2.157507606442127,-2.0996870741956313,0.9999869626171032,3,4
-3.39,-3.2594261540421163,-2.1535954826894157,-2.0960117509814404,0.9999869626171032,3,4
-3.38,-3.250232098853751,-2.1496833589367044,-2.0923364277672505,0.9999869626171032,3,4
-3.37,-3.2410380436653865,-2.145771235183992,-2.08866110455306,0.9999869626171032,3,4
-3.36,-3.231843988477021,-2.1418591114312804,-2.0849857813388697,0.9999869626171032,3,4
-3.35,-3.222649933288658,-2.1379469876785695,-2.0813104581246793,0.9999869626171032,3,4
-3.34,-3.213455878100292,-2.1340348639258573,-2.0776351349104885,0.9999869626171032,3,4
-3.33,-3.204261822911928,-2.1301227401731455,-2.0739598116962985,0.9999869626171032,3,4
-3.32,-3.1950677677235633,-2.1262106164204337,-2.0702844884821077,0.9999869626171032,3,4
-3.31,-3.1858737125351984,-2.1222984926677224,-2.0666091652679177,0.9999869626171032,3,4
-3.3,-3.176679657346834,-2.11838636891501,-2.062933842053728,0.9999869626171032,3,4
-3.29,-3.1674856021584685,-2.1144742451622993,-2.059258518839537,0.9999869626171032,3,4
-3.28,-3.1582915469701036,-2.1105621214095875,-2.055583195625347,0.9999869626171032,3,4
-3.27,-3.1490974917817387,-2.106649997656876,-2.051907872411156,0.9999869626171032,3,4
-3.26,-3.1399034365933747,-2.1027378739041644,-2.048232549196966,0.9999869626171032,3,4
-3.25,-3.1307093814050098,-2.0988257501514527,-2.044557225982776,0.9999869626171032,3,4
-3.24,-3.1215153262166457,-2.094913626398741,-2.040881902768585,0.9999869626171032,3,4
-3.23,-3.1123212710282804,-2.0910015026460296,-2.037206579554395,0.9999869626171032,3,4
-3.22,-3.103127215839917,-2.087089378893318,-2.033531256340205,0.9999869626171032,3,4
-3.21,-3.093933160651551,-2.0831772551406056,-2.029855933126014,0.9999869626171032,3,4
-3.2,-3.0847391054631865,-2.0792651313878947,-2.026180609911824,0.9999869626171032,3,4
-3.19,-3.075545050274821,-2.075353007635183,-2.0225052866976334,0.9999869626171032,3,4
-3.18,-3.0663509950864567,-2.0714408838824716,-2.0188299634834435,0.9999869626171032,3,4
-3.17,-3.0571569398980913,-2.06752876012976,-2.0151546402692535,0.9999869626171032,3,4
-3.16,-3.047962884709728,-2.0636166363770476,-2.0114793170550627,0.9999869626171032,3,4
-3.15,-3.038768829521362,-2.059704512624336,-2.0078039938408727,0.9999869626171032,3,4
-3.14,-3.0295747743329975,-2.0557923888716245,-2.004128670626682,0.9999869626171032,3,4
-3.13,-3.0203807191446335,-2.0518802651189127,-2.0004533474124915,0.9999869626171032,3,4
-3.12,-3.011186663956268,-2.0479681413662014,-1.996778024198301,0.9999869626171032,3,4
-3.11,-3.0019926087679036,-2.04405601761349,-1.9931027009841111,0.9999869626171032,3,4
-3.1,-2.9927985535795387,-2.0401438938607783,-1.9894273777699203,0.9999869626171032,3,4
-3.09,-2.983604498391174,-2.0362317701080666,-1.98575205455573,0.9999869626171032,3,4
-3.08,-2.9744104432028102,-2.0323196463553543,-1.98207673134154,0.9999869626171032,3,4
-3.07,-2.9652163880144453,-2.0284075226026426,-1.978401408127349,0.9999869626171032,3,4
