eps_pi,eps_y,pi,y,Epi_lead,y_lag,path_number
0,0,7.092001372,-0.65782739,0,-0.530577616,1
0,0,7.499887097,-0.797009275,0,-0.65782739,1
0,0,7.936565853,-0.948781709,0,-0.797009275,1
0,0,8.404215725,-1.113868161,0,-0.948781709,1
0,0,8.905167508,-1.293060511,0,-1.113868161,1
0,0,9.441916351,-1.487222795,0,-1.293060511,1
0,0,10.0171342,-1.697295312,0,-1.487222795,1
0,0,10.63368312,-1.924299133,0,-1.697295312,1
0,0,11.29462956,-2.169341016,0,-1.924299133,1
0,0,12.00325959,-2.433618764,0,-2.169341016,1
0,0,12.76309529,-2.71842704,0,-2.433618764,1
0,0,13.57791226,-3.025163679,0,-2.71842704,1
0,0,14.45175836,-3.355336512,0,-3.025163679,1
0,0,15.38897388,-3.710570756,0,-3.355336512,1
0,0,16.39421307,-4.092616982,0,-3.710570756,1
0,0,17.47246728,-4.503359719,0,-4.092616982,1
0,0,18.62908975,-4.944826731,0,-4.503359719,1
0,0,19.8698222,-5.419199003,0,-4.944826731,1
0,0,21.20082332,-5.9288215,0,-5.419199003,1
0,0,22.62869936,-6.476214739,0,-5.9288215,1
0,0,24.16053694,-7.064087243,0,-6.476214739,1
0,0,25.80393822,-7.695348925,0,-7.064087243,1
0,0,27.56705859,-8.373125482,0,-7.695348925,1
0,0,29.45864723,-9.100773856,0,-8.373125482,1
0,0,31.48809044,-9.881898852,0,-9.100773856,1
0,0,33.6654583,-10.72037098,0,-9.881898852,1
0,0,36.00155458,-11.62034565,0,-10.72037098,1
0,0,38.50797038,-12.58628369,0,-11.62034565,1
0,0,41.19714165,-13.62297356,0,-12.58628369,1
0,0,44.08241087,-14.73555496,0,-13.62297356,1
0,0,47.17809328,-15.92954438,0,-14.73555496,1
0,0,50.4995479,-17.21086246,0,-15.92954438,1
0,0,54.0632537,-18.58586326,0,-17.21086246,1
0,0,57.88689144,-20.06136584,0,-18.58586326,1
0,0,61.9894313,-21.64468807,0,-20.06136584,1
0,0,66.39122705,-23.34368286,0,-21.64468807,1
0,0,71.11411705,-25.16677716,0,-23.34368286,1
0,0,76.18153253,-27.12301374,0,-25.16677716,1
0,0,81.61861391,-29.22209603,0,-27.12301374,1
0,0,87.45233549,-31.47443625,0,-29.22209603,1
0,0,93.71163927,-33.89120707,0,-31.47443625,1
0,0,100.4275785,-36.48439701,0,-33.89120707,1
0,0,107.633472,-39.26686993,0,-36.48439701,1
0,0,115.3650689,-42.2524288,0,-39.26686993,1
0,0,123.6607267,-45.45588421,0,-42.2524288,1
0,0,132.561601,-48.89312784,0,-45.45588421,1
0,0,142.1118499,-52.58121126,0,-48.89312784,1
0,0,152.3588531,-56.53843055,0,-52.58121126,1
0,0,163.353447,-60.78441703,0,-56.53843055,1
0,0,175.1501766,-65.3402347,0,-60.78441703,1
0,0,187.8075667,-70.22848468,0,-65.3402347,1
0,0,201.3884115,-75.47341737,0,-70.22848468,1
0,0,215.9600867,-81.10105272,0,-75.47341737,1
0,0,231.5948835,-87.13930934,0,-81.10105272,1
0,0,248.3703674,-93.61814302,0,-87.13930934,1
0,0,266.3697627,-100.5696953,0,-93.61814302,1
0,0,285.6823657,-108.0284529,0,-100.5696953,1
0,0,306.4039877,-116.0314188,0,-108.0284529,1
0,0,328.6374302,-124.6182961,0,-116.0314188,1
